-1,0,0,-4.5,6,1,05/2016/11 00:26,05/2016/11 00:26,0.01,-1,-1,,0,0,0,0,Rollover - 105761451,0,105780182,
-1,1.14264,1.13663,-601,0,1,05/2016/12 00:30,05/2016/13 04:33,1,-1,-1,EURUSD,1.13474,1.15054,0,0,commento,1002,105903419,
-1,0,0,-4.5,6,1,05/2016/13 00:28,05/2016/13 00:28,0.01,-1,-1,,0,0,0,0,Rollover - 105903419,0,106085466,
-1,1.13745,1.13492,253,1,1,05/2016/13 07:00,05/2016/13 11:33,1,-1,-1,EURUSD,1.14635,1.12855,0,0,commento,1002,106137231,
-1,0.94114,0.94983,-660.45,1,1,05/2016/13 18:30,05/2016/20 17:24,1,-1,-1,AUDCAD,0.95113,0.92613,0,0,commento,1011,106236346,
-1,0.94116,0.94576,356.83,0,1,05/2016/13 19:30,05/2016/17 04:38,1,-1,-1,AUDCAD,0.93115,0.9561500000000001,0,0,commento,1204,106240362,
-1,1.13117,1.12783,334,1,1,05/2016/13 23:00,05/2016/18 14:05,1,-1,-1,EURUSD,1.14135,1.12095,0,0,commento,1002,106248313,
-1,0,0,2.1,6,1,05/2016/14 00:27,05/2016/14 00:27,0.01,-1,-1,,0,0,0,0,Rollover - 106248313,0,106258436,
-1,0,0,1.3,6,1,05/2016/14 00:27,05/2016/14 00:27,0.01,-1,-1,,0,0,0,0,Rollover - 106240362,0,106258437,
-1,0,0,-3.3,6,1,05/2016/14 00:27,05/2016/14 00:27,0.01,-1,-1,,0,0,0,0,Rollover - 106236346,0,106258438,
-1,0,0,2.1,6,1,05/2016/17 00:21,05/2016/17 00:21,0.01,-1,-1,,0,0,0,0,Rollover - 106248313,0,106378532,
-1,0,0,-3.3,6,1,05/2016/17 00:21,05/2016/17 00:21,0.01,-1,-1,,0,0,0,0,Rollover - 106236346,0,106378533,
-1,0,0,1.3,6,1,05/2016/17 00:21,05/2016/17 00:21,0.01,-1,-1,,0,0,0,0,Rollover - 106240362,0,106378534,
-1,0.94478,0.93937,-416.6,0,1,05/2016/17 07:00,05/2016/18 21:56,1,-1,-1,AUDCAD,0.93477,0.95977,0,0,commento,1204,106435445,
-1,0,0,2.1,6,1,05/2016/18 00:25,05/2016/18 00:25,0.01,-1,-1,,0,0,0,0,Rollover - 106248313,0,106527181,
-1,0,0,1.3,6,1,05/2016/18 00:25,05/2016/18 00:25,0.01,-1,-1,,0,0,0,0,Rollover - 106435445,0,106527182,
-1,0,0,-3.3,6,1,05/2016/18 00:25,05/2016/18 00:25,0.01,-1,-1,,0,0,0,0,Rollover - 106236346,0,106527183,
-1,1.12808,1.12774,34,1,1,05/2016/18 15:00,05/2016/18 16:01,1,-1,-1,EURUSD,1.13508,1.12108,0,0,commento,1002,106657773,
-1,1.12751,1.12281,470,1,1,05/2016/18 17:00,05/2016/18 21:22,1,-1,-1,EURUSD,1.13461,1.12041,0,0,commento,1002,106678802,
-1,0.93914,0.94486,-435.4,1,1,05/2016/18 22:01,05/2016/19 15:26,1,-1,-1,AUDCAD,0.94919,0.92419,0,0,commento,1204,106728255,
-1,0,0,-13.2,6,1,05/2016/19 00:28,05/2016/19 00:28,0.01,-1,-1,,0,0,0,0,Rollover - 106236346,0,106757949,
-1,0,0,-13.2,6,1,05/2016/19 00:28,05/2016/19 00:28,0.01,-1,-1,,0,0,0,0,Rollover - 106728255,0,106757950,
-1,1.12212,1.1194,272,1,1,05/2016/19 07:01,05/2016/19 16:07,1,-1,-1,EURUSD,1.13252,1.11172,0,0,commento,1002,106830421,
-1,0,0,2.1,6,1,05/2016/20 00:25,05/2016/20 00:25,0.01,-1,-1,,0,0,0,0,Rollover - 106976283,0,107017830,
-1,0,0,-4,6,1,05/2016/20 00:25,05/2016/20 00:25,0.01,-1,-1,,0,0,0,0,Rollover - 106236346,0,107017831,
-1,0,0,1.8,6,1,05/2016/21 00:24,05/2016/21 00:24,0.01,-1,-1,,0,0,0,0,Rollover - 106976283,0,107206861
-1,1.12125,1.1203,95,1,1,05/2016/19 19:00,05/2016/23 17:37,1,-1,-1,EURUSD,1.13205,1.11045,0,0,commento,1002,106976283
-1,1.12086,1.1187,216,1,1,05/2016/23 20:00,05/2016/24 12:07,1,-1,-1,EURUSD,1.12726,1.11446,0,0,commento,1002,107362976
-1,0.9460499999999999,0.94128,362.22,1,1,05/2016/20 07:00,05/2016/24 14:30,1,-1,-1,AUDCAD,0.95603,0.93103,0,0,commento,1204,107081096
-1,1.11434,1.11404,30,1,1,05/2016/25 05:30,05/2016/25 17:43,1,-1,-1,EURUSD,1.12264,1.10604,0,0,commento,1002,107597331
-1,0.94717,0.93876,-644.9400000000001,0,1,05/2016/24 08:00,05/2016/25 21:38,1,-1,-1,AUDCAD,0.93713,0.96213,0,0,commento,1011,107442174
-1,0.94387,0.93837,-422.02,0,1,05/2016/25 03:00,05/2016/25 21:42,1,-1,-1,AUDCAD,0.93387,0.95887,0,0,commento,1204,107589942
-1,0.93865,0.94087,170.33,0,1,05/2016/25 22:00,05/2016/27 11:32,1,-1,-1,AUDCAD,0.92859,0.95359,0,0,commento,1011,107700404
-1,0.9369499999999999,0.94171,365.01,0,1,05/2016/26 18:30,05/2016/27 12:20,1,-1,-1,AUDCAD,0.92694,0.95194,0,0,commento,1204,107958973
-1,1.11611,1.11497,114,1,1,05/2016/25 18:30,05/2016/27 17:09,1,-1,-1,EURUSD,1.12481,1.10741,0,0,commento,1002,107680836
-1,0.94093,0.93847,188.66,1,1,05/2016/27 12:00,05/2016/27 17:15,1,-1,-1,AUDCAD,0.95094,0.92594,0,0,commento,1011,108103889
-1,0.93694,0.9401,242.36,-1,1,05/2016/27 19:00,05/2016/31 04:31,1,-1,-1,AUDCAD,0.92693,0.9519300000000001,0,0,commento,1011,108168298
-1,0.93571,0.94099,-405.01,1,1,05/2016/27 22:30,05/2016/31 04:34,1,-1,-1,AUDCAD,0.9457100000000001,0.92071,0,0,commento,1204,108192945
-1,0.9428,0.94562,-215.76,1,1,05/2016/31 06:30,05/2016/31 11:56,1,-1,-1,AUDCAD,0.9528,0.9278,0,0,commento,1011,108450902
-1,1.11114,1.1189,-776,1,1,05/2016/30 09:30,06/2016/01 22:08,1,-1,-1,EURUSD,1.12073,1.10153,0,0,commento,1002,108247194
